时间,账户,标的,方向,类别,详情
"09:27:01"	,"0014510910"	,"000720"	,"买入"	,"B"	,"LimitPrice"	
"09:26:53"	,"0014510910"	,"002441"	,"买入"	,"B"	,"LimitPrice"	
